Date,Close
7/14/2025 15:30:00,1570.3
7/15/2025 15:30:00,1585.6
7/16/2025 15:30:00,1607.9
7/17/2025 15:30:00,1583.5
7/18/2025 15:30:00,1586.1
7/21/2025 15:30:00,1584.3
7/22/2025 15:30:00,1570.9
7/23/2025 15:30:00,1574.5
7/24/2025 15:30:00,1552.5
7/25/2025 15:30:00,1515.7
7/28/2025 15:30:00,1516
7/29/2025 15:30:00,1513.7
7/30/2025 15:30:00,1519
7/31/2025 15:30:00,1509
8/1/2025 15:30:00,1469.6
8/4/2025 15:30:00,1480.5
8/5/2025 15:30:00,1460.3
8/6/2025 15:30:00,1436.7
8/7/2025 15:30:00,1436.9
8/8/2025 15:30:00,1423.1
8/11/2025 15:30:00,1428.2
8/12/2025 15:30:00,1424.1
8/13/2025 15:30:00,1426.6
8/14/2025 15:30:00,1447.7
8/18/2025 15:30:00,1435.8
8/19/2025 15:30:00,1440
8/20/2025 15:30:00,1496.2
8/21/2025 15:30:00,1496.4
8/22/2025 15:30:00,1487.5
8/25/2025 15:30:00,1532.1
8/26/2025 15:30:00,1529.6
8/28/2025 15:30:00,1500.1
8/29/2025 15:30:00,1469.6
9/1/2025 15:30:00,1499.4
9/2/2025 15:30:00,1498.7
9/3/2025 15:30:00,1479.1
9/4/2025 15:30:00,1463
9/5/2025 15:30:00,1444.6
9/8/2025 15:30:00,1432.9
9/9/2025 15:30:00,1504.3
9/10/2025 15:30:00,1532.6
9/11/2025 15:30:00,1509.7
9/12/2025 15:30:00,1525.6
9/15/2025 15:30:00,1508.4
9/16/2025 15:30:00,1511.3
9/17/2025 15:30:00,1522.4
9/18/2025 15:30:00,1540.6
9/19/2025 15:30:00,1540.2
9/22/2025 15:30:00,1499.5
9/23/2025 15:30:00,1497.5
9/24/2025 15:30:00,1494.6
9/25/2025 15:30:00,1484.8
9/26/2025 15:30:00,1448.9
9/29/2025 15:30:00,1441.8
9/30/2025 15:30:00,1441.8
10/1/2025 15:30:00,1445.8
10/3/2025 15:30:00,1446.6
10/6/2025 15:30:00,1476
10/7/2025 15:30:00,1458.5
10/8/2025 15:30:00,1495
10/9/2025 15:30:00,1509.3
10/10/2025 15:30:00,1514.9
10/13/2025 15:30:00,1493.2
10/14/2025 15:30:00,1489.9
10/15/2025 15:30:00,1474.4
10/16/2025 15:30:00,1471.5
10/17/2025 15:30:00,1441.1
10/20/2025 15:30:00,1460.9
10/21/2025 15:30:00,1472.4
10/23/2025 15:30:00,1528.5
10/24/2025 15:30:00,1525.4
10/27/2025 15:30:00,1504.5
10/28/2025 15:30:00,1500.2
10/29/2025 15:30:00,1510.4
10/30/2025 15:30:00,1493.8
10/31/2025 15:30:00,1482.3
11/3/2025 15:30:00,1485.5
11/4/2025 15:30:00,1467.9
11/6/2025 15:30:00,1466.7
11/7/2025 15:30:00,1476.8
11/10/2025 15:30:00,1513.5
11/11/2025 15:30:00,1530.3
11/12/2025 15:30:00,1551.7
11/13/2025 15:30:00,1541.8
11/14/2025 15:30:00,1502.8
11/17/2025 15:30:00,1507.6
11/18/2025 15:30:00,1486.4
11/19/2025 15:30:00,1541.1
11/20/2025 15:30:00,1536.5
11/21/2025 15:30:00,1545
11/24/2025 15:30:00,1548
11/25/2025 15:30:00,1530.6
11/26/2025 15:30:00,1557.9
11/27/2025 15:30:00,1566.4
11/28/2025 15:30:00,1560.1
12/1/2025 15:30:00,1564
12/2/2025 15:30:00,1561
12/3/2025 15:30:00,1578.7
12/4/2025 15:30:00,1597.6
12/5/2025 15:30:00,1616.2
12/8/2025 15:30:00,1610.8
12/9/2025 15:30:00,1599
12/10/2025 15:30:00,1584.8
12/11/2025 15:30:00,1598
12/12/2025 15:30:00,1598.2
12/15/2025 15:30:00,1606.8
12/16/2025 15:30:00,1592.9
12/17/2025 15:30:00,1602
12/18/2025 15:30:00,1626.8
12/19/2025 15:30:00,1638.7
12/22/2025 15:30:00,1689.6
12/23/2025 15:30:00,1668.3
12/24/2025 15:30:00,1663.4
12/26/2025 15:30:00,1656.1
12/29/2025 15:30:00,1644.7
12/30/2025 15:30:00,1621.6
12/31/2025 15:30:00,1615.4
1/1/2026 15:30:00,1629.8
1/2/2026 15:30:00,1640.4
1/5/2026 15:30:00,1606.4
1/6/2026 15:30:00,1612.2
1/7/2026 15:30:00,1639
1/8/2026 15:30:00,1613.3
1/9/2026 15:30:00,1614.1
1/12/2026 15:30:00,1595.9
1/13/2026 15:30:00,1599
1/14/2026 15:30:00,1599.8
1/16/2026 15:30:00,1689.8
1/19/2026 15:30:00,1681.2
1/20/2026 15:30:00,1658.9
1/21/2026 15:30:00,1654.4
1/22/2026 15:30:00,1663.5
1/23/2026 15:30:00,1670.8
1/27/2026 15:30:00,1682.7
1/28/2026 15:30:00,1666.5
1/29/2026 15:30:00,1659.5
1/30/2026 15:30:00,1641
2/2/2026 15:30:00,1629.4
2/3/2026 15:30:00,1656
2/4/2026 15:30:00,1535.8
2/5/2026 15:30:00,1520.2
2/6/2026 15:30:00,1507.1
2/9/2026 15:30:00,1497.2
2/10/2026 15:30:00,1497.8
2/11/2026 15:30:00,1471.9
2/12/2026 15:30:00,1386
2/13/2026 15:30:00,1369.1
2/16/2026 15:30:00,1365.6
2/17/2026 15:30:00,1391.2
2/18/2026 15:30:00,1373.7
2/19/2026 15:30:00,1370.5
2/20/2026 15:30:00,1353.2
2/23/2026 15:30:00,1327.5
2/24/2026 15:30:00,1275.5
2/25/2026 15:30:00,1290.1
2/26/2026 15:30:00,1289.1
2/27/2026 15:30:00,1300.1
3/2/2026 15:30:00,1288.9
3/4/2026 15:30:00,1306.1
3/5/2026 15:30:00,1305.8
3/6/2026 15:30:00,1308.4
3/9/2026 15:30:00,1315
3/10/2026 15:30:00,1295.6
3/11/2026 15:30:00,1276.3
3/12/2026 15:30:00,1265.8
3/13/2026 15:30:00,1248.3
3/16/2026 15:30:00,1249.8
3/17/2026 15:30:00,1232.9
3/18/2026 15:30:00,1267.1
3/19/2026 15:30:00,1220.8
3/20/2026 15:30:00,1255.9
3/23/2026 15:30:00,1256.8
3/24/2026 15:30:00,1278.3
3/25/2026 15:30:00,1279.1
3/27/2026 15:30:00,1269.7
3/30/2026 15:30:00,1250.6
4/1/2026 15:30:00,1275.7
4/2/2026 15:30:00,1300.8
4/6/2026 15:30:00,1306.2
4/7/2026 15:30:00,1339.4
4/8/2026 15:30:00,1346.2
4/9/2026 15:30:00,1331.6
4/10/2026 15:30:00,1292.5
4/13/2026 15:30:00,1276.8
4/15/2026 15:30:00,1305.3
4/16/2026 15:30:00,1319.2
4/17/2026 15:30:00,1318.7
4/20/2026 15:30:00,1312.6
4/21/2026 15:30:00,1313.2
4/22/2026 15:30:00,1268.6
4/23/2026 15:30:00,1240.6
4/24/2026 15:30:00,1154.6
4/27/2026 15:30:00,1170.3
4/28/2026 15:30:00,1152.1
4/29/2026 15:30:00,1167.5
4/30/2026 15:30:00,1181.8
5/4/2026 15:30:00,1168.4
5/5/2026 15:30:00,1178.1
5/6/2026 15:30:00,1167.2
5/7/2026 15:30:00,1162.7
5/8/2026 15:30:00,1179.2
5/11/2026 15:30:00,1177
5/12/2026 15:30:00,1140.3
5/13/2026 15:30:00,1123.1
5/14/2026 15:30:00,1095
5/15/2026 15:30:00,1119
5/18/2026 15:30:00,1142.5
5/19/2026 15:30:00,1196.9
5/20/2026 15:30:00,1193.7
5/21/2026 15:30:00,1181.2
5/22/2026 15:30:00,1174.5
5/25/2026 15:30:00,1168.5
5/26/2026 15:30:00,1167.7
5/27/2026 15:30:00,1159.9
5/29/2026 15:30:00,1160.9
6/1/2026 15:30:00,1202.5
6/2/2026 15:30:00,1270.8
6/3/2026 15:30:00,1222.6
6/4/2026 15:30:00,1201.3
6/5/2026 15:30:00,1197.5
6/8/2026 15:30:00,1187.6
6/9/2026 15:30:00,1180.3
6/10/2026 15:30:00,1145.3
6/11/2026 15:30:00,1114.6
6/12/2026 15:30:00,1116.4
6/15/2026 15:30:00,1134.9
6/16/2026 15:30:00,1143.6
6/17/2026 15:30:00,1157.7
6/18/2026 15:30:00,1127.5
6/19/2026 15:30:00,1051.4
6/22/2026 15:30:00,1065.4
6/23/2026 15:30:00,1029.3
6/24/2026 15:30:00,1056.6
6/25/2026 15:30:00,1041.2
6/29/2026 15:30:00,1036.7
6/30/2026 15:30:00,1000.4
7/1/2026 15:30:00,985.3
7/2/2026 15:30:00,1040.9
7/3/2026 15:30:00,1047.2
7/6/2026 15:30:00,1042.2
7/7/2026 15:30:00,1071.8
7/8/2026 15:30:00,1069.3
7/9/2026 15:30:00,1050.8
7/10/2026 15:30:00,1068
