Date,Close
7/14/2025 15:30:00,1483.7
7/15/2025 15:30:00,1485.4
7/16/2025 15:30:00,1485.6
7/17/2025 15:30:00,1476.4
7/18/2025 15:30:00,1476
7/21/2025 15:30:00,1428.6
7/22/2025 15:30:00,1412.8
7/23/2025 15:30:00,1424.6
7/24/2025 15:30:00,1402.9
7/25/2025 15:30:00,1391.7
7/28/2025 15:30:00,1387.6
7/29/2025 15:30:00,1417.1
7/30/2025 15:30:00,1410.1
7/31/2025 15:30:00,1390.2
8/1/2025 15:30:00,1393.7
8/4/2025 15:30:00,1411.5
8/5/2025 15:30:00,1391.7
8/6/2025 15:30:00,1392.8
8/7/2025 15:30:00,1389.4
8/8/2025 15:30:00,1367.8
8/11/2025 15:30:00,1386.2
8/12/2025 15:30:00,1380.4
8/13/2025 15:30:00,1382.6
8/14/2025 15:30:00,1373.8
8/18/2025 15:30:00,1381.7
8/19/2025 15:30:00,1420.1
8/20/2025 15:30:00,1413
8/21/2025 15:30:00,1424.8
8/22/2025 15:30:00,1409.2
8/25/2025 15:30:00,1412.6
8/26/2025 15:30:00,1384.9
8/28/2025 15:30:00,1385.9
8/29/2025 15:30:00,1357.2
9/1/2025 15:30:00,1353.9
9/2/2025 15:30:00,1366.5
9/3/2025 15:30:00,1372.6
9/4/2025 15:30:00,1359.3
9/5/2025 15:30:00,1375
9/8/2025 15:30:00,1378.5
9/9/2025 15:30:00,1376.2
9/10/2025 15:30:00,1377
9/11/2025 15:30:00,1383.3
9/12/2025 15:30:00,1395
9/15/2025 15:30:00,1399.3
9/16/2025 15:30:00,1405.3
9/17/2025 15:30:00,1413.8
9/18/2025 15:30:00,1415
9/19/2025 15:30:00,1407.4
9/22/2025 15:30:00,1390.6
9/23/2025 15:30:00,1389.8
9/24/2025 15:30:00,1383
9/25/2025 15:30:00,1372.4
9/26/2025 15:30:00,1377.6
9/29/2025 15:30:00,1372.8
9/30/2025 15:30:00,1364
10/1/2025 15:30:00,1368.7
10/3/2025 15:30:00,1363.4
10/6/2025 15:30:00,1375
10/7/2025 15:30:00,1384.8
10/8/2025 15:30:00,1367.4
10/9/2025 15:30:00,1377.8
10/10/2025 15:30:00,1381.7
10/13/2025 15:30:00,1375
10/14/2025 15:30:00,1375.9
10/15/2025 15:30:00,1374.3
10/16/2025 15:30:00,1398.3
10/17/2025 15:30:00,1416.8
10/20/2025 15:30:00,1466.8
10/21/2025 15:30:00,1465.2
10/23/2025 15:30:00,1448.4
10/24/2025 15:30:00,1451.6
10/27/2025 15:30:00,1484.1
10/28/2025 15:30:00,1486.9
10/29/2025 15:30:00,1504.2
10/30/2025 15:30:00,1488.5
10/31/2025 15:30:00,1486.4
11/3/2025 15:30:00,1484.7
11/4/2025 15:30:00,1473.1
11/6/2025 15:30:00,1496.1
11/7/2025 15:30:00,1478
11/10/2025 15:30:00,1489.3
11/11/2025 15:30:00,1493.4
11/12/2025 15:30:00,1511.5
11/13/2025 15:30:00,1510.9
11/14/2025 15:30:00,1518.9
11/17/2025 15:30:00,1518.3
11/18/2025 15:30:00,1519.4
11/19/2025 15:30:00,1518.9
11/20/2025 15:30:00,1549.1
11/21/2025 15:30:00,1546.6
11/24/2025 15:30:00,1535.9
11/25/2025 15:30:00,1539.7
11/26/2025 15:30:00,1569.9
11/27/2025 15:30:00,1563.4
11/28/2025 15:30:00,1567.5
12/1/2025 15:30:00,1566.1
12/2/2025 15:30:00,1546.3
12/3/2025 15:30:00,1538.8
12/4/2025 15:30:00,1535.6
12/5/2025 15:30:00,1540.6
12/8/2025 15:30:00,1543
12/9/2025 15:30:00,1529.4
12/10/2025 15:30:00,1536.9
12/11/2025 15:30:00,1545
12/12/2025 15:30:00,1556.5
12/15/2025 15:30:00,1556.2
12/16/2025 15:30:00,1542.3
12/17/2025 15:30:00,1544.4
12/18/2025 15:30:00,1544.4
12/19/2025 15:30:00,1565.1
12/22/2025 15:30:00,1575.4
12/23/2025 15:30:00,1570.7
12/24/2025 15:30:00,1558.2
12/26/2025 15:30:00,1559.2
12/29/2025 15:30:00,1545.6
12/30/2025 15:30:00,1539.8
12/31/2025 15:30:00,1570.4
1/1/2026 15:30:00,1575.6
1/2/2026 15:30:00,1592.3
1/5/2026 15:30:00,1578.1
1/6/2026 15:30:00,1507.6
1/7/2026 15:30:00,1504.2
1/8/2026 15:30:00,1470.6
1/9/2026 15:30:00,1475.3
1/12/2026 15:30:00,1483.2
1/13/2026 15:30:00,1452.8
1/14/2026 15:30:00,1458.8
1/16/2026 15:30:00,1457.9
1/19/2026 15:30:00,1413.6
1/20/2026 15:30:00,1394
1/21/2026 15:30:00,1404.6
